AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Revue Francaise de Transfusion	Rev. Fr. Transfus.	Rev Fr Transfus	
Revue Francaise de Transfusion et d Hemobiologie	Rev. Fr. Transfus. Hemobiol.	Rev Fr Transfus Hemobiol	
Revue Francaise de Transfusion et Immuno-Hematologie	Rev. Fr. Transfus. Immunohematol.	Rev Fr Transfus Immunohematol	
Revue Francaise des Maladies Respiratoires	Rev. Fr. Mal. Respir.	Rev Fr Mal Respir	
Revue Francaise des Prothesistes Dentaires	Rev. Fr. Prothes. Dent.	Rev Fr Prothes Dent	
Revue Internationale d Hepatologie	Rev. Int. Hepatol.	Rev Int Hepatol	
Revue Internationale des Services de Sante des Armees de Terre, de Mer et de l Air	Rev. Int. Serv. Sante Armees	Rev Int Serv Sante Armees	
Revue Internationale du Trachome	Rev. Int. Trach.	Rev Int Trach	
Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale	Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop.	Rev Int Trach Pathol Ocul Trop Subtrop	
Revue Internationale du Trachome et de Pathologie Oculaire Tropicale et Subtropicale et de Sante Publique	Rev. Int. Trach. Pathol. Ocul. Trop. Subtrop. Sante Publique	Rev Int Trach Pathol Ocul Trop Subtrop Sante Publique	
Revue Lyonnaise de Medecine	Rev. Lyon. Med.	Rev Lyon Med	
Revue Medicale de Bruxelles	Rev. Med. Brux.	Rev Med Brux	
Revue Medicale de la Suisse Romande	Rev. Med. Suisse Romande	Rev Med Suisse Romande	
Revue Medicale de Liege	Rev. Med. Liege	Rev Med Liege	
Revue Medicale du Moyen-Orient	Rev. Med. Moyen. Orient	Rev Med Moyen Orient	
Revue Medico-Chirurgicale des Maladies du Foie	Rev. Med. Chir. Mal. Foie	Rev Med Chir Mal Foie	
Revue Neurologique	Rev. Neurol. (Paris).	Rev Neurol (Paris)	
Revue Odonto-Implantologique	Rev. Odontoimplantol.	Rev Odontoimplantol	
Revue Odonto-Stomatologique du Nord-Est	Rev. Odontostomatol. Nordest.	Rev Odontostomatol Nordest	
Revue Roumaine d Endocrinologie	Rev. Roum. Endocrinol.	Rev Roum Endocrinol	
Revue Roumaine d Inframicrobiologie	Rev. Roum. Inframicrobiol.	Rev Roum Inframicrobiol	
Revue Roumaine de Medecine	Rev. Roum. Med.	Rev Roum Med	
Revue Roumaine de Medecine Interne	Rev. Roum. Med. Intern.	Rev Roum Med Intern	
Revue Roumaine de Morphologie et d Embryologie	Rev. Roum. Morphol. Embryol.	Rev Roum Morphol Embryol	
Revue Roumaine de Morphologie et de Physiologie	Rev. Roum. Morphol. Physiol.	Rev Roum Morphol Physiol	
Revue Roumaine de Neurologie	Rev. Roum. Neurol.	Rev Roum Neurol	
Revue Roumaine de Neurologie et de Psychiatrie	Rev. Roum. Neurol. Psychiatr.	Rev Roum Neurol Psychiatr	
Revue Roumaine de Physiologie	Rev. Roum. Physiol.	Rev Roum Physiol	
Revue Roumaine de Virologie	Rev. Roum. Virol.	Rev Roum Virol	
Revue Scientifique et Technique	Rev. Sci. Tech.	Rev Sci Tech	
Revue Stomato-Odontologique du Nord de la France	Rev. Stomatoodontol. Nord Fr.	Rev Stomatoodontol Nord Fr	
Revue Suisse de Zoologie	Rev. Suisse Zool.	Rev Suisse Zool	
RGO	RGO	RGO	
Rheumatic Diseases Clinics of North America	Rheum. Dis. Clin. North Am.	Rheum Dis Clin North Am	
Rheumatism	Rheumatism	Rheumatism	
Rheumatology	Rheumatology (Oxford).	Rheumatology (Oxford)	
Rheumatology and Physical Medicine	Rheumatol. Phys. Med.	Rheumatol Phys Med	Rheumatology & Physical Medicine
Rheumatology and Rehabilitation	Rheumatol. Rehabil.	Rheumatol Rehabil	Rheumatology & Rehabilitation
Rheumatology International	Rheumatol. Int.	Rheumatol Int	
Rhinology	Rhinology	Rhinology	
Rhinology. Supplement	Rhinol. Suppl.	Rhinol Suppl	
Rhode Island Dental Journal	R. I. Dent. J.	R I Dent J	
Rhode Island Medical Journal	R. I. Med. J.	R I Med J	
Rhode Island Medicine	R. I. Med.	R I Med	
Rhodesia Nurse	Rhod. Nurse	Rhod Nurse	
Rhodesian Nurse	Rhod. Nurse	Rhod Nurse	
Rhumatologie	Rhumatologie	Rhumatologie	
Ricerca in Clinica e in Laboratorio	Ric. Clin. Lab.	Ric Clin Lab	
Ricerca Scientifica	Ric. Sci.	Ric Sci	
Ricerca Scientifica. 2 Ser. Parte I: Rivista	Ric. Sci. 2 Ser. Pt. 1. Riv.	Ric Sci 2 Ser Pt 1 Riv	
Ricerca Scientifica. 2 Ser, Pt 2: Rendiconti. Sezione B: Biologica	Ric. Sci. 2 Ser. Pt 2 Rend. [B].	Ric Sci 2 Ser Pt 2 Rend [B]	
Riforma Medica	Riforma Med.	Riforma Med	
Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi	Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi	Rinsho Biseibutshu Jinsoku Shindan Kenkyukai Shi	
Rinsho Byori. Japanese Journal of Clinical Pathology	Rinsho Byori.	Rinsho Byori	
Rinsho Hoshasen. Japanese Journal of Clinical Radiology	Rinsho Hoshasen.	Rinsho Hoshasen	
Rinsho Ketsueki. Japanese Journal of Clinical Hematology	Rinsho Ketsueki.	Rinsho Ketsueki	
Rinsho Kyobu Geka	Rinsho Kyobu Geka	Rinsho Kyobu Geka	
Rinsho Shika	Rinsho Shika	Rinsho Shika	
Rinsho Shinkeigaku. Clinical Neurology	Rinsho Shinkeigaku.	Rinsho Shinkeigaku	
Rinsho Shishubyo Danwakai Kaishi	Rinsho Shishubyo Danwakai Kaishi	Rinsho Shishubyo Danwakai Kaishi	
Risk Analysis	Risk Anal.	Risk Anal	
Risk Management	Risk Manage.	Risk Manage	
RISO Report	RISO Rep.	RISO Rep	
Rivista Critica di Clinica Medica	Riv. Crit. Clin. Med.	Riv Crit Clin Med	
Rivista d Ostetricia e Ginecologia Pratica	Riv. Ostet. Ginecol. Prat.	Riv Ostet Ginecol Prat	
Rivista Degli Infortuni e delle Malattie Professionali	Riv. Infort. Mal. Prof.	Riv Infort Mal Prof	
Rivista dell Infermiere	Riv. Inferm.	Riv Inferm	
Rivista dell Istituto Sieroterapico Italiano	Riv. Ist. Sieroter. Ital.	Riv Ist Sieroter Ital	
Rivista di Anatomia Patologica e di Oncologia	Riv. Anat. Patol. Oncol.	Riv Anat Patol Oncol	
Rivista di Biologia	Riv. Biol.	Riv Biol	
Rivista di Clinica Pediatrica	Riv. Clin. Pediatr.	Riv Clin Pediatr	
Rivista di Emoterapia ed Immunoematologia	Riv. Emoter. Immunoematol.	Riv Emoter Immunoematol	
Rivista di Gastro-Enterologia	Riv. Gastroenterol.	Riv Gastroenterol	
Rivista di Istochimica, Normale e Patologica	Riv. Istochim. Norm. Patol.	Riv Istochim Norm Patol	
Rivista di Malariologia	Riv. Malariol.	Riv Malariol	
Rivista di Medicina Aeronautica e Spaziale	Riv. Med. Aeronaut. Spaz.	Riv Med Aeronaut Spaz	
Rivista di Neurobiologia	Riv. Neurobiol.	Riv Neurobiol	
Rivista di Neurologia	Riv. Neurol.	Riv Neurol	
Rivista di Odontoiatria Degli Amici di Brugg	Riv. Odontoiatr. Amici Brugg	Riv Odontoiatr Amici Brugg	
Rivista di Odontostomatologia e Implantoprotesi	Riv. Odontostomatol. Implantoprotesi	Riv Odontostomatol Implantoprotesi	
Rivista di Ostetricia e Ginecologia	Riv. Ostet. Ginecol.	Riv Ostet Ginecol	
Rivista di Ostetricia Ginecologia Pratica e Medicina Perinatale	Riv. Ostet. Ginecol. Prat. Med. Perinat.	Riv Ostet Ginecol Prat Med Perinat	
Rivista di Parassitologia	Riv. Parassitol.	Riv Parassitol	
Rivista di Patologia Clinica e Sperimentale	Riv. Patol. Clin. Sper.	Riv Patol Clin Sper	
Rivista di Patologia e Clinica	Riv. Patol. Clin.	Riv Patol Clin	
Rivista di Patologia Nervosa e Mentale	Riv. Patol. Nerv. Ment.	Riv Patol Nerv Ment	
Rivista di Storia della Medicina	Riv. Stor. Med.	Riv Stor Med	
Rivista Europea Per le Scienze Mediche e Farmacologiche	Riv. Eur. Sci. Med. Farmacol.	Riv Eur Sci Med Farmacol	
Rivista Italiana d Igiene	Riv. Ital. Ig.	Riv Ital Ig	
Rivista Italiana Degli Odontotecnici	Riv. Ital. Odontotec.	Riv Ital Odontotec	
Rivista Italiana di Ginecologia	Riv. Ital. Ginecol.	Riv Ital Ginecol	
Rivista Italiana di Odontoiatria Infantile	Riv. Ital. Odontoiatr. Infant.	Riv Ital Odontoiatr Infant	
Rivista Italiana di Stomatologia	Riv. Ital. Stomatol.	Riv Ital Stomatol	
Rivista Oto-Neuro-Oftalmologica	Riv. Otoneurooftalmol.	Riv Otoneurooftalmol	
Rivista Sperimentale di Freniatria e Medicina Legale delle Alienazioni Mentali	Riv. Sper. Freniatr.	Riv Sper Freniatr	
RN	RN	RN	
RN (for Managers)	RN (For. Managers)	RN (For Managers)	
RN Idaho	RN Ida.	RN Ida	
RNA	RNA	RNA	
RNABC News; Registered Nurses Association of British Columbia	RNABC News.	RNABC News	
RNAO News	RNAO News	RNAO News	
Rocky Mountain Medical Journal	Rocky Mt. Med. J.	Rocky Mt Med J	
Rocznik Pomorskiej Akademii Medycznej Im. Gen. Karola Swierczewskiego W Szczecinie	Rocz. Pomor. Akad. Med.	Rocz Pomor Akad Med	
Roczniki Akademii Medycznej Im. Juliana Marchlewskiego W Bialymstoku	Rocz. Akad. Med. Im. Juliana Marchlewskiego Bialymst.	Rocz Akad Med Im Juliana Marchlewskiego Bialymst	
Roczniki Akademii Medycznej Im. Juliana Marchlewskiego W Bialymstoku. Supplement	Rocz. Akad. Med. Im. Juliana Marchlewskiego Bialymst. Suppl.	Rocz Akad Med Im Juliana Marchlewskiego Bialymst Suppl	
Roczniki Akademii Medycznej W Bialymstoku	Rocz. Akad. Med. Bialymst.	Rocz Akad Med Bialymst	
Roczniki Akademii Medycznej W Bialymstoku. Suplement	Rocz. Akad. Med. Bialymst. Supl.	Rocz Akad Med Bialymst Supl	
Roczniki Panstwowego Zakladu Higieny	Rocz. Panstw. Zakl. Hig.	Rocz Panstw Zakl Hig	
Rofo. Fortschritte auf dem Gebiete der Rontgenstrahlen und der Neuen Bildgebenden Verfahren	Rofo. Fortschr. Geb. Rontgenstr. Neuen Bildgeb. Verfahr.	Rofo Fortschr Geb Rontgenstr Neuen Bildgeb Verfahr	
ROFO. Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin	ROFO. Fortschr. Geb. Rontgenstr. Nuklearmed.	ROFO Fortschr Geb Rontgenstr Nuklearmed	
Rogerian Nursing Science News	Rogerian Nurs. Sci. News	Rogerian Nurs Sci News	
Romanian Journal of Endocrinology	Rom. J. Endocrinol.	Rom J Endocrinol	
Romanian Journal of Internal Medicine	Rom. J. Intern. Med.	Rom J Intern Med	
Romanian Journal of Morphology and Embryology	Rom. J. Morphol. Embryol.	Rom J Morphol Embryol	Romanian Journal of Morphology & Embryology
Romanian Journal of Neurology and Psychiatry	Rom. J. Neurol. Psychiatry	Rom J Neurol Psychiatry	Romanian Journal of Neurology & Psychiatry
Romanian Journal of Physiology	Rom. J. Physiol.	Rom J Physiol	
Romanian Journal of Virology	Rom. J. Virol.	Rom J Virol	
Romanian Medical Review	Rom. Med. Rev.	Rom Med Rev	
Rontgen-Blatter	Rontgenblatter.	Rontgenblatter	
Rontgenpraxis	Rontgenpraxis	Rontgenpraxis	
Rossiiskii Fiziologicheskii Zhurnal Imeni I. M. Sechenova	Ross. Fiziol. Zh. Im. I. M. Sechenova	Ross Fiziol Zh Im I M Sechenova	
Rossiiskii Meditsinskii Zhurnal	Ross. Med. Zh.	Ross Med Zh	
Roumanian Archives of Microbiology and Immunology	Roum. Arch. Microbiol. Immunol.	Roum Arch Microbiol Immunol	Roumanian Archives of Microbiology & Immunology
Royal Canadian Dental Corps Quarterly	R. Can. Dent. Corps Q.	R Can Dent Corps Q	
Royal Institute of Public Health and Hygiene Journal	R. Inst. Public Health Hyg. J.	R Inst Public Health Hyg J	Royal Institute of Public Health & Hygiene Journal
Royal Society of Health Journal	R. Soc. Health J.	R Soc Health J	
Rozhledy V Chirurgii	Rozhl. Chir.	Rozhl Chir	
Rozprawy Wydzialu Nauk Medycznych	Rozpr. Wydz. Nauk Med.	Rozpr Wydz Nauk Med	
Rumanian Medical Review	Rum. Med. Rev.	Rum Med Rev	
Russ Coiles Health Trends	Russ Coiles Health Trends	Russ Coiles Health Trends	
Ryan Advisory for Health Services Governing Boards	Ryan Advis. Health Serv. Gov. Boards	Ryan Advis Health Serv Gov Boards	
Ryoikibetsu Shokogun Shirizu	Ryoikibetsu Shokogun Shirizu	Ryoikibetsu Shokogun Shirizu	
Ryumachi	Ryumachi	Ryumachi	
S e TA e NU; Rivista di Scienza e Tecnologia Degli Alimenti e di Nutrizione Umana	S TA NU.	S TA NU	
SA Nursing Journal. SA Verplegingstydskrif	SA Nurs. J.	SA Nurs J	
SAAD Digest	SAAD Dig.	SAAD Dig	
SAAS Bulletin, Biochemistry and Biotechnology	SAAS Bull. Biochem. Biotechnol.	SAAS Bull Biochem Biotechnol	SAAS Bulletin, Biochemistry & Biotechnology
Sabouraudia	Sabouraudia	Sabouraudia	
Sac Explorer	Sac Explor.	Sac Explor	
SADJ	SADJ	SADJ	
Sairaanhoidon Vuosikirja	Sairaanh. Vuosik.	Sairaanh Vuosik	
Sairaanhoitaja	Sairaanhoitaja	Sairaanhoitaja	
Sairaanhoitajalehti	Sairaanhoitajalehti	Sairaanhoitajalehti	
Saishin Igaku. Recent Medicine	Saishin Igaku.	Saishin Igaku	
Salud Bucal	Salud Bucal	Salud Bucal	
Salud Publica de Mexico	Salud Publica Mex.	Salud Publica Mex	
Same-Day Surgery	Same. Day Surg.	Same Day Surg	
Sammlung Zwangloser Abhandlungen Aus dem Gebiete der Psychiatrie und Neurologie	Samml. Zwangl. Abh. Geb. Psychiatr. Neurol.	Samml Zwangl Abh Geb Psychiatr Neurol	
San Fernando Valley Dental Society Bulletin	San Fernando Val. Dent. Soc. Bull.	San Fernando Val Dent Soc Bull	
San Gabriel Valley Dental Society Bulletin	San Gabriel Val. Dent. Soc. Bull.	San Gabriel Val Dent Soc Bull	
Sanfujinka No Jissai. Practice of Gynecology and Obstetrics	Sanfujinka No Jissai.	Sanfujinka No Jissai	Sanfujinka No Jissai. Practice of Gynecology & Obstetrics
Sangre	Sangre (Barc).	Sangre (Barc)	
Sangyo Eiseigaku Zasshi	Sangyo Eiseigaku Zasshi	Sangyo Eiseigaku Zasshi	
Sangyo Igaku. Japanese Journal of Industrial Health	Sangyo Igaku.	Sangyo Igaku	
Sangyo Ika Daigaku Zasshi	Sangyo Ika Daigaku Zasshi	Sangyo Ika Daigaku Zasshi	
Sante	Sante	Sante	
Sante Mentale Au Quebec	Sante Ment. Que.	Sante Ment Que	
Sante Publique	Sante Publique (Bucur).	Sante Publique (Bucur)	
Sante Quebec	Sante Que.	Sante Que	
Santo Tomas Nursing Journal	St. Tomas Nurs. J.	St Tomas Nurs J	
Sapporo Igaku Zasshi. Sapporo Medical Journal	Sapporo Igaku Zasshi.	Sapporo Igaku Zasshi	
SAR and QSAR in Environmental Research	SAR QSAR Environ. Res.	SAR QSAR Environ Res	SAR & QSAR in Environmental Research
Sarcoidosis	Sarcoidosis	Sarcoidosis	
Sarcoidosis, Vasculitis, and Diffuse Lung Diseases	Sarcoidosis. Vasc. Diffuse Lung Dis.	Sarcoidosis Vasc Diffuse Lung Dis	Sarcoidosis, Vasculitis, & Diffuse Lung Diseases
Saturday Review	Saturday Rev.	Saturday Rev	
Sbornik Lekarsky	Sb. Lek.	Sb Lek	
Sbornik Vedeckych Praci Lekarske Fakulty Karlovy Univerzity V Hradci Kralove	Sb. Ved. Pr. Lek. Fak. Karlovy Univerzity Hradci Kralove	Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove	
Sbornik Vedeckych Praci Lekarske Fakulty Karlovy Univerzity V Hradci Kralove. Supplementum	Sb. Ved. Pr. Lek. Fak. Karlovy Univerzity Hradci Kralove. Suppl.	Sb Ved Pr Lek Fak Karlovy Univerzity Hradci Kralove Suppl	
SC Reports	SC Rep.	SC Rep	
SC Trodent	SC Trodent	SC Trodent	
SCADA Journal	SCADA J.	SCADA J	
Scalpel	Scalpel (Brux).	Scalpel (Brux)	
Scandinavian Audiology	Scand. Audiol.	Scand Audiol	
Scandinavian Audiology. Supplementum	Scand. Audiol. Suppl.	Scand Audiol Suppl	
Scandinavian Cardiovascular Journal	Scand. Cardiovasc. J.	Scand Cardiovasc J	
Scandinavian Cardiovascular Journal. Supplement	Scand. Cardiovasc. J. Suppl.	Scand Cardiovasc J Suppl	
Scandinavian Journal of Caring Sciences	Scand. J. Caring Sci.	Scand J Caring Sci	
Scandinavian Journal of Clinical and Laboratory Investigation	Scand. J. Clin. Lab. Invest.	Scand J Clin Lab Invest	Scandinavian Journal of Clinical & Laboratory Investigation
Scandinavian Journal of Clinical and Laboratory Investigation. Supplement	Scand. J. Clin. Lab. Invest. Suppl.	Scand J Clin Lab Invest Suppl	Scandinavian Journal of Clinical & Laboratory Investigation. Supplement
Scandinavian Journal of Dental Research	Scand. J. Dent. Res.	Scand J Dent Res	
Scandinavian Journal of Gastroenterology	Scand. J. Gastroenterol.	Scand J Gastroenterol	
Scandinavian Journal of Gastroenterology. Supplement	Scand. J. Gastroenterol. Suppl.	Scand J Gastroenterol Suppl	
Scandinavian Journal of Haematology	Scand. J. Haematol.	Scand J Haematol	
Scandinavian Journal of Haematology. Supplementum	Scand. J. Haematol. Suppl.	Scand J Haematol Suppl	
Scandinavian Journal of Immunology	Scand. J. Immunol.	Scand J Immunol	
Scandinavian Journal of Immunology. Supplement	Scand. J. Immunol. Suppl.	Scand J Immunol Suppl	
Scandinavian Journal of Infectious Diseases	Scand. J. Infect. Dis.	Scand J Infect Dis	
Scandinavian Journal of Infectious Diseases. Supplementum	Scand. J. Infect. Dis. Suppl.	Scand J Infect Dis Suppl	
Scandinavian Journal of Medicine and Science in Sports	Scand. J. Med. Sci. Sports	Scand J Med Sci Sports	Scandinavian Journal of Medicine & Science in Sports
Scandinavian Journal of Plastic and Reconstructive Surgery	Scand. J. Plast. Reconstr. Surg.	Scand J Plast Reconstr Surg	Scandinavian Journal of Plastic & Reconstructive Surgery
Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery	Scand. J. Plast. Reconstr. Surg. Hand Surg.	Scand J Plast Reconstr Surg Hand Surg	Scandinavian Journal of Plastic & Reconstructive Surgery & Hand Surgery
Scandinavian Journal of Plastic and Reconstructive Surgery and Hand Surgery. Supplementum	Scand. J. Plast. Reconstr. Surg. Hand Surg. Suppl.	Scand J Plast Reconstr Surg Hand Surg Suppl	Scandinavian Journal of Plastic & Reconstructive Surgery & Hand Surgery. Supplementum
Scandinavian Journal of Plastic and Reconstructive Surgery. Supplementum	Scand. J. Plast. Reconstr. Surg. Suppl.	Scand J Plast Reconstr Surg Suppl	Scandinavian Journal of Plastic & Reconstructive Surgery. Supplementum
Scandinavian Journal of Primary Health Care	Scand. J. Prim. Health Care	Scand J Prim Health Care	
Scandinavian Journal of Primary Health Care. Supplement	Scand. J. Prim. Health Care. Suppl.	Scand J Prim Health Care Suppl	
Scandinavian Journal of Psychology	Scand. J. Psychol.	Scand J Psychol	
Scandinavian Journal of Rehabilitation Medicine	Scand. J. Rehabil. Med.	Scand J Rehabil Med	
Scandinavian Journal of Rehabilitation Medicine. Supplement	Scand. J. Rehabil. Med. Suppl.	Scand J Rehabil Med Suppl	
Scandinavian Journal of Respiratory Diseases	Scand. J. Respir. Dis.	Scand J Respir Dis	
Scandinavian Journal of Respiratory Diseases. Supplementum	Scand. J. Respir. Dis. Suppl.	Scand J Respir Dis Suppl	
Scandinavian Journal of Rheumatology	Scand. J. Rheumatol.	Scand J Rheumatol	
Scandinavian Journal of Rheumatology. Supplement	Scand. J. Rheumatol. Suppl.	Scand J Rheumatol Suppl	
Scandinavian Journal of Social Medicine	Scand. J. Soc. Med.	Scand J Soc Med	
Scandinavian Journal of Social Medicine. Supplementum	Scand. J. Soc. Med. Suppl.	Scand J Soc Med Suppl	
Scandinavian Journal of Thoracic and Cardiovascular Surgery	Scand. J. Thorac. Cardiovasc. Surg.	Scand J Thorac Cardiovasc Surg	Scandinavian Journal of Thoracic & Cardiovascular Surgery
Scandinavian Journal of Thoracic and Cardiovascular Surgery. Supplementum	Scand. J. Thorac. Cardiovasc. Surg. Suppl.	Scand J Thorac Cardiovasc Surg Suppl	Scandinavian Journal of Thoracic & Cardiovascular Surgery. Supplementum
Scandinavian Journal of Urology and Nephrology	Scand. J. Urol. Nephrol.	Scand J Urol Nephrol	Scandinavian Journal of Urology & Nephrology
Scandinavian Journal of Urology and Nephrology. Supplementum	Scand. J. Urol. Nephrol. Suppl.	Scand J Urol Nephrol Suppl	Scandinavian Journal of Urology & Nephrology. Supplementum
Scandinavian Journal of Work, Environment and Health	Scand. J. Work. Environ. Health	Scand J Work Environ Health	Scandinavian Journal of Work, Environment & Health
Scandinavian Society of Forensic Odontology Newsletter	Scand. Soc. Forensic Odontol. Newsl.	Scand Soc Forensic Odontol Newsl	
Scanning	Scanning	Scanning	
Scanning Electron Microscopy	Scan. Electron Microsc.	Scan Electron Microsc	
Scanning Microscopy	Scanning Microsc.	Scanning Microsc	
Scanning Microscopy. Supplement	Scanning Microsc. Suppl.	Scanning Microsc Suppl	
Scanodont	Scanodont	Scanodont	
SCHA Journal	SCHA J.	SCHA J	
Schizophrenia Bulletin	Schizophr. Bull.	Schizophr Bull	
Schizophrenia Research	Schizophr. Res.	Schizophr Res	
Scholarly Inquiry for Nursing Practice	Sch. Inq. Nurs. Pract.	Sch Inq Nurs Pract	
School Dental Services Gazette	Sch. Dent. Serv. Gaz. N. Z.	Sch Dent Serv Gaz N Z	
School Health Review	Sch. Health Rev.	Sch Health Rev	
Schriftenreihe Aus dem Gebiete des Offentlichen Gesundheitswesens	Schriftenr. Geb. Off. Gesundheitswes.	Schriftenr Geb Off Gesundheitswes	
Schriftenreihe des Vereins fur Wasser-, Boden-, und Lufthygiene	Schriftenr. Ver. Wasser. Boden. Lufthyg.	Schriftenr Ver Wasser Boden Lufthyg	
Schriftenreihe Neurologie. Neurology Series	Schriftenr. Neurol.	Schriftenr Neurol	
Schriftenreihe Zentralblatt fur Arbeitsmedizin, Arbeitsschutz, Prophylaxe, und Ergonomie	Schriftenr. Zentralbl. Arbeitsmed. Arbeitsschutz. Prophyl. Ergonomie	Schriftenr Zentralbl Arbeitsmed Arbeitsschutz Prophyl Ergonomie	
Schriftenreihe Zentralblatt fur Arbeitsmedizin Arbeitsschutz und Prophylaxe	Schriftenr. Zentralbl. Arbeitsmed. Arbeitsschutz Prophyl.	Schriftenr Zentralbl Arbeitsmed Arbeitsschutz Prophyl	
Schweizer Archiv fur Neurologie, Neurochirurgie und Psychiatrie	Schweiz. Arch. Neurol. Neurochir. Psychiatr.	Schweiz Arch Neurol Neurochir Psychiatr	
Schweizer Archiv fur Neurologie und Psychiatrie	Schweiz. Arch. Neurol. Psychiatr.	Schweiz Arch Neurol Psychiatr	
Schweizer Archiv fur Tierheilkunde	Schweiz. Arch. Tierheilkd.	Schweiz Arch Tierheilkd	
Schweizer Monatsschrift fur Zahnmedizin	Schweiz. Monatsschr. Zahnmed.	Schweiz Monatsschr Zahnmed	
Schweizerische Apotheker-Zeitung	Schweiz. Apoth. Ztg.	Schweiz Apoth Ztg	
Schweizerische Medizinische Wochenschrift. Journal Suisse de Medecine	Schweiz. Med. Wochenschr.	Schweiz Med Wochenschr	
Schweizerische Medizinische Wochenschrift. Supplementum	Schweiz. Med. Wochenschr. Suppl.	Schweiz Med Wochenschr Suppl	
Schweizerische Monatsschrift fur Zahnmedizin	Schweiz. Monatsschr. Zahnmed.	Schweiz Monatsschr Zahnmed	
Schweizerische Rundschau fur Medizin Praxis	Schweiz. Rundsch. Med. Prax.	Schweiz Rundsch Med Prax	
Schweizerische Zeitschrift fur Medizin und Traumatologie	Schweiz. Z. Med. Traumatol.	Schweiz Z Med Traumatol	
Schweizerische Zeitschrift fur Psychologie und Ihre Anwendungen	Schweiz. Z. Psychol. Anwend.	Schweiz Z Psychol Anwend	
Schweizerische Zeitschrift fur Sportmedizin	Schweiz. Z. Sportmed.	Schweiz Z Sportmed	
